code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09660,地平线机器人-W,2024-10-24 00:00:00,5.12,4.1,5.5,4.1,0.0,0.03785,493170606,2384389767.0,2.7568922305764265,3.99
HK.09660,地平线机器人-W,2024-10-25 00:00:00,4.01,3.99,4.09,3.6,0.0,0.01521,198178691,783328722.0,-2.682926829268279,4.1
HK.09660,地平线机器人-W,2024-10-28 00:00:00,4.13,4.2,4.43,4.03,0.0,0.00539,70232784,297586501.0,5.263157894736841,3.99
HK.09660,地平线机器人-W,2024-10-29 00:00:00,4.28,4.12,4.37,4.1,0.0,0.00156,20348283,85801856.0,-1.9047619047619064,4.2
HK.09660,地平线机器人-W,2024-10-30 00:00:00,4.16,4.77,4.85,4.12,0.0,0.00524,68309742,306281276.0,15.7766990291262,4.12
HK.09660,地平线机器人-W,2024-10-31 00:00:00,4.77,4.77,5.04,4.61,0.0,0.0044,57279060,276093981.0,0.0,4.77
HK.09660,地平线机器人-W,2024-11-01 00:00:00,4.74,5.08,5.2,4.62,0.0,0.00453,59055536,294738375.0,6.498951781970661,4.77
HK.09660,地平线机器人-W,2024-11-04 00:00:00,5.08,4.85,5.19,4.8,0.0,0.00242,31586200,158140902.0,-4.527559055118119,5.08
HK.09660,地平线机器人-W,2024-11-05 00:00:00,4.85,5.09,5.24,4.8,0.0,0.00384,50052414,251517897.0,4.948453608247427,4.85
HK.09660,地平线机器人-W,2024-11-06 00:00:00,5.13,4.94,5.27,4.75,0.0,0.00512,66758333,334542929.0,-2.9469548133595183,5.09
HK.09660,地平线机器人-W,2024-11-07 00:00:00,4.96,4.83,5.09,4.8,0.0,0.0019,24762200,121531261.0,-2.226720647773286,4.94
HK.09660,地平线机器人-W,2024-11-08 00:00:00,4.92,4.7,5.01,4.6,0.0,0.00247,32239600,154308133.0,-2.6915113871635588,4.83
HK.09660,地平线机器人-W,2024-11-11 00:00:00,4.45,4.2,4.54,4.18,0.0,0.00415,54101270,234376354.0,-10.638297872340425,4.7
HK.09660,地平线机器人-W,2024-11-12 00:00:00,4.32,4.18,4.46,4.09,0.0,0.00252,32786727,139265028.0,-0.47619047619048716,4.2
HK.09660,地平线机器人-W,2024-11-13 00:00:00,4.12,4.23,4.27,4.04,0.0,0.00183,23793551,98524013.0,1.1961722488038447,4.18
HK.09660,地平线机器人-W,2024-11-14 00:00:00,4.23,4.31,4.38,4.12,0.0,0.00153,19913596,85286212.0,1.8912529550827228,4.23
HK.09660,地平线机器人-W,2024-11-15 00:00:00,4.34,4.05,4.35,4.04,0.0,0.00203,26426997,108925244.0,-6.032482598607884,4.31
HK.09660,地平线机器人-W,2024-11-18 00:00:00,4.12,4.08,4.13,4.04,0.0,0.00063,8237310,33615847.0,0.7407407407407469,4.05
HK.09660,地平线机器人-W,2024-11-19 00:00:00,4.11,4.13,4.22,4.11,0.0,0.0006,7815400,32482690.0,1.225490196078427,4.08
