code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01810,小米集团-W,2024-05-27 00:00:00,18.2,18.44,18.5,17.82,23.855,0.00446,111351692,2029122051.0,0.7650273224043747,18.3
HK.01810,小米集团-W,2024-05-28 00:00:00,18.4,18.14,18.54,18.02,23.527,0.00327,81902009,1492186667.0,-1.6268980477223465,18.44
HK.01810,小米集团-W,2024-05-29 00:00:00,18.02,17.78,18.08,17.66,23.06,0.00406,101668386,1810860083.0,-1.984564498346193,18.14
HK.01810,小米集团-W,2024-05-30 00:00:00,17.78,17.7,18.06,17.46,22.957,0.00422,105715211,1869824565.0,-0.4499437570303816,17.78
HK.01810,小米集团-W,2024-05-31 00:00:00,18.0,17.48,18.1,17.38,22.671,0.00545,136405438,2415035209.0,-1.2429378531073383,17.7
HK.01810,小米集团-W,2024-06-03 00:00:00,17.56,17.9,18.14,17.56,23.216,0.00425,106453297,1904351907.0,2.4027459954233303,17.48
HK.01810,小米集团-W,2024-06-04 00:00:00,17.68,17.78,17.92,17.68,23.06,0.00301,75212318,1337035143.0,-0.6703910614524997,17.9
HK.01810,小米集团-W,2024-06-05 00:00:00,17.84,17.7,18.08,17.62,22.957,0.00294,73525775,1308446804.0,-0.4499437570303816,17.78
HK.01810,小米集团-W,2024-06-06 00:00:00,17.82,17.96,18.4,17.82,23.294,0.00481,120451138,2178226572.0,1.4689265536723253,17.7
HK.01810,小米集团-W,2024-06-07 00:00:00,18.06,17.62,18.2,17.22,22.853,0.00804,201105124,3535521016.0,-1.8930957683741638,17.96
HK.01810,小米集团-W,2024-06-11 00:00:00,17.18,17.32,17.34,17.02,22.464,0.006,150166213,2597867142.0,-1.702610669693534,17.62
HK.01810,小米集团-W,2024-06-12 00:00:00,17.22,17.14,17.34,17.04,22.23,0.00337,84361187,1447428174.0,-1.0392609699769038,17.32
HK.01810,小米集团-W,2024-06-13 00:00:00,17.28,17.56,17.62,17.22,22.775,0.00328,82025721,1429389081.0,2.4504084014002228,17.14
HK.01810,小米集团-W,2024-06-14 00:00:00,17.36,17.3,17.52,17.22,22.438,0.00346,86630442,1500237656.0,-1.4806378132118339,17.56
HK.01810,小米集团-W,2024-06-17 00:00:00,17.2,17.32,17.64,17.06,22.464,0.00249,62407200,1084849986.0,0.11560693641618251,17.3
HK.01810,小米集团-W,2024-06-18 00:00:00,17.38,17.38,17.56,17.26,22.542,0.00187,46659965,811235694.0,0.3464203233256277,17.32
HK.01810,小米集团-W,2024-06-19 00:00:00,17.48,18.48,18.5,17.44,23.968,0.00635,158776789,2881675860.0,6.329113924050642,17.38
HK.01810,小米集团-W,2024-06-20 00:00:00,18.5,18.52,18.72,18.3,24.02,0.00361,90185310,1665787283.0,0.2164502164502118,18.48
HK.01810,小米集团-W,2024-06-21 00:00:00,18.28,18.18,18.4,17.84,23.579,0.00351,87851069,1594293112.0,-1.8358531317494593,18.52
HK.01810,小米集团-W,2024-06-24 00:00:00,17.96,18.02,18.08,17.56,23.372,0.0028,69977040,1245348465.0,-0.8800880088008809,18.18
HK.01810,小米集团-W,2024-06-25 00:00:00,18.08,17.78,18.14,17.62,23.06,0.00232,58116612,1034505816.0,-1.3318534961154187,18.02
